,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
3147,6,0.519538,100,83,2,7,76,0.492749,0.4239315341793691,0.0007403599535346722,0.09850687990771623,-0.036151,-12.982895340201788,0.4736952242718445,0.3403684509598981
3148,6,0.457305,100,83,2,7,76,0.493036,0.42424670822930866,0.0007403599535346722,0.09850687990771623,-0.035989,-12.989203945056158,0.4727007669902911,0.34058072312818294
3149,6,0.467651,100,83,2,7,76,0.493328,0.4245618822792483,0.0007403599535346722,0.09850687990771623,-0.035827,-12.995655272564248,0.4717387252427184,0.3407868153611926
3150,6,-0.310749,100,81,2,5,76,0.493067,0.4243403684422624,0.0018480921628017052,0.09840770186446218,-0.035746,-13.000477524627351,0.47584876699029105,0.34011020565245476
3151,6,-0.478589,100,81,2,5,76,0.492809,0.42411885460527665,0.0018480921628017052,0.09840770186446218,-0.035665,-13.007904341731864,0.4794627941747572,0.3396247687592509
3152,6,-0.407357,100,81,2,5,76,0.492556,0.4238973407682907,0.0018480921628017052,0.09840770186446218,-0.035584,-13.014225767709878,0.483261431067961,0.33913933186604706
3153,6,-0.422731,100,81,2,5,76,0.492306,0.4236758269313049,0.0018480921628017052,0.09840770186446218,-0.035504,-13.020785775269843,0.4870202233009707,0.33865389497284315
3154,6,0.954546,100,81,2,5,76,0.492556,0.4238973407682907,0.0018480921628017052,0.09840770186446218,-0.035584,-13.005972994480295,0.4838394145631065,0.3396247687592509
3155,6,0.422173,100,81,2,5,76,0.492809,0.42411885460527665,0.0018480921628017052,0.09840770186446218,-0.035665,-12.999421651240716,0.480079176699029,0.3405956425456586
3156,6,0.54258,100,81,2,5,76,0.493067,0.4243403684422624,0.0018480921628017052,0.09840770186446218,-0.035746,-12.991001807137348,0.4767460592233008,0.3415665163320664
3157,6,0.651171,100,81,2,5,76,0.493328,0.4245618822792483,0.0006202385725741811,0.09840770186446218,-0.035827,-12.980896836277841,0.47377561650485434,0.34253739011847417
3158,6,-0.383841,100,81,2,5,76,0.493067,0.4243403684422624,0.0018480921628017052,0.09840770186446218,-0.035746,-12.98685334274557,0.47763845339805805,0.3415665163320664
3159,6,-0.532867,100,81,2,5,76,0.492809,0.42411885460527665,0.0018480921628017052,0.09840770186446218,-0.035665,-12.995122454631636,0.4811495330097086,0.3405956425456586
3160,6,0.697028,100,84,2,8,76,0.493181,0.42449200878704474,0.0016466573327291911,0.09840770186446218,-0.035746,-12.991683194210925,0.477795844660194,0.34201525167187224
3161,6,0.795815,100,84,2,8,76,0.493559,0.4248651629688128,0.0016466573327291911,0.0961705370562459,-0.035827,-12.987756503596039,0.4748291165048544,0.3434715623514839
3162,6,0.297348,100,84,2,8,76,0.493854,0.42516844365837736,0.0016466573327291911,0.0961705370562459,-0.035827,-12.986289334631637,0.4732114194174756,0.3446338640019693
3163,6,-0.3978,100,84,2,8,76,0.493471,0.4247952894766092,0.0016466573327291911,0.0961705370562459,-0.035746,-12.988252150100891,0.4770348242718446,0.3434068930310955
3164,6,-0.19839,100,84,2,8,76,0.493094,0.42442213529484113,0.0016466573327291911,0.09840770186446218,-0.035665,-12.989231044113838,0.4815057689320387,0.3424425842932315
